show_id,type,title,cast,release_year,duration,listed_in,description,platform,min,season
s14,TV Show,"Dr. Oakley, Yukon Vet","Dr. Michelle Oakley, Zachary Fine",2013,10 Seasons,"Action-Adventure, Animals & Nature, Docuseries","Meet Dr. Michelle Oakley, vet to pretty much everything that moves in the rugged Yukon.",disney,10,Seasons
s15,Movie,America the Beautiful,Michael B. Jordan,2021,2 min,Animals & Nature,"Epic, grand portrait of the land across four regions on the most extreme continent. Coming in 2022.",disney,2,min
s16,Movie,Baymax!,sin dato,2021,1 min,Animation,“Baymax!” premieres on Disney+ summer 2022.,disney,1,min
s17,Movie,Ciao Alberto,"Jack Dylan Grazer, Marco Barricelli",2021,8 min,"Animation, Comedy, Family",Fun-loving sea monster Alberto whole-heartedly wants to prove himself to his stoic mentor Massimo.,disney,8,min
s18,TV Show,Disney Fancy Nancy,"Mia Jenness, Alyson Hannigan, Rob Riggle, Spencer Moss, Dana Heath",2018,3 Seasons,"Animation, Kids",Nancy makes every day extraordinary!,disney,3,Seasons
s19,TV Show,Disney Intertwined,"Carolina Domenech, José Jiménez Zapiola, Kevsho, Elena Roger, Clara Alonso, Emilia Mernes",2021,1 Season,"Comedy, Coming of Age, Drama",Allegra is ready to change the past in order to reach her dream.,disney,1,Season
s20,Movie,Enchanted,"Amy Adams, Patrick Dempsey, James Marsden, Timothy Spall, Idina Menzel, Susan Sarandon",2007,110 min,"Comedy, Family, Fantasy",An animated princess winds up in the real world of modern-day Manhattan.,disney,110,min
s21,Movie,Feast,"Stephen Apostolina, Kirk Baily, Ben Bledsoe, David Cowgill, Terri Douglas, Fuschia!",2014,8 min,"Animation, Comedy, Drama",One man's love life seen through the eyes of his dog.,disney,8,min
s22,Movie,Frozen Fever,"Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad, Santino Fontana, Chris Williams",2015,11 min,"Animation, Family, Fantasy",Elsa wants to give Anna the best birthday party ever.,disney,11,min
s23,Movie,Get a Horse!,"Walt Disney, Marcellite Garner, Russi Taylor, Billy Bletcher, Will Ryan, Bob Bergen",2013,7 min,"Action-Adventure, Animation, Comedy",Mickey and friends hitch a ride on a musical hay wagon.,disney,7,min
s24,Movie,Home Sweet Home Alone,"Ellie Kemper, Rob Delaney, Archie Yates, Aisling Bea, Kenan Thompson, Tim Simons",2021,95 min,"Comedy, Family","Alone for the holidays, Max Mercer will do whatever it takes to protect his home from trespassers.",disney,95,min
s25,Movie,Jungle Cruise,"Dwayne Johnson, Emily Blunt, Edgar Ramirez, Jack Whitehall, Jesse Plemons, Paul Giamatti",2021,129 min,"Action-Adventure, Comedy, Family",Dr. Lily Houghton & skipper Frank Wolff team up for a wild ride on the Amazon.,disney,129,min
s26,Movie,Limitless with Chris Hemsworth,Chris Hemsworth,2021,2 min,Lifestyle,"""Limitless with Chris Hemsworth"" is coming to Disney+ in 2022.",disney,2,min
s27,Movie,Marvel Studios’ 2021 Disney+ Day Special,sin dato,2021,14 min,Movies,"Marvel Studios’ Disney+ Day Special explores the Disney+ series of the MCU – past, present and future.",disney,14,min
s28,Movie,Obi-Wan Kenobi,sin dato,2021,1 min,"Action-Adventure, Science Fiction","A behind the scenes look of the ""Obi-Wan Kenobi"" special event series. Coming to Disney+ in 2022.",disney,1,min
s29,TV Show,Olaf Presents,Josh Gad,2021,1 Season,"Animation, Family",Olaf goes from snowman to showman for his unique retelling of five favorite Disney Animation tales.,disney,1,Season
s30,Movie,Paperman,"John Kahrs, Kari Wahlgren",2012,7 min,"Animation, Comedy, Family",A young man strives to find girl of his dreams.,disney,7,min
s31,Movie,Pixar 2021 Disney+ Day Special,"Pete Docter, Larry the Cable Guy, Jack Dylan Grazer, Domee Shi, Angus MacLane",2021,5 min,Movies,Join Pete Docter for a tour around Pixar and get a sneak peek at several upcoming Disney+ releases.,disney,5,min
s32,Movie,Shang-Chi and The Legend of The Ten Rings,"Simu Liu, Awkwafina, Tony Leung, Michelle Yeoh, Meng'er Zhang, Ben Kingsley",2021,134 min,"Action-Adventure, Fantasy, Superhero","Shang-Chi must confront his father, leader of the Ten Rings organization.",disney,134,min
s33,Movie,Spin,"Avantika, Michael Bishop, Anna Cathcart, Jahbril Cook, Kerri Medders, Aryan Simhadri",2021,94 min,"Coming of Age, Music",Rhea discovers her passion for creating DJ mixes!,disney,94,min
s34,Movie,Tangled Ever After,"Mandy Moore, Zachary Levi, Alan Dale, Paul F. Tompkins, Kari Wahlgren, Mark Allen Stewart",2012,9 min,"Animation, Family",It's up to Max and Pascal to save the royal wedding.,disney,9,min
s35,Movie,The Ballad of Nessie,Billy Connolly,2011,8 min,"Animation, Family, Fantasy",A colorful tale about the friendly Loch Ness monster.,disney,8,min
s36,Movie,The Little Matchgirl,sin dato,2006,7 min,"Animation, Drama",A poor matchgirl sees happy images in the flames of her matches.,disney,7,min
s37,Movie,The Making of Happier Than Ever: A Love Letter to Los Angeles,"Billie Eilish, FINNEAS, Gustavo Dudamel, Patrick Osborne, Robert Rodriguez",2021,30 min,"Concert Film, Music","Go behind the scenes of ""Happier Than Ever: A Love Letter to Los Angeles.""",disney,30,min
s38,Movie,The Proud Family: Louder and Prouder,"Kyla Pratt, Tommy Davidson, Paula Jai Parker, JoMarie Payton, Cedric the Entertainer",2021,1 min,"Animation, Comedy, Coming of Age","""The Proud Family: Louder and Prouder"" follows Penny Proud and her family. Coming in February 2022.",disney,1,min
s39,Movie,The Simpsons in Plusaversary,"Dan Castellaneta, Nancy Cartwright, Yeardley Smith, Tress MacNeille, Hank Azaria",2021,6 min,"Animation, Comedy",Celebrate Disney+ Day with The Simpsons and their friends from across the service.,disney,6,min
s40,Movie,Tick Tock Tale,sin dato,2010,6 min,"Animation, Crime, Family",A tale of a quirky mantle clock.,disney,6,min
s41,Movie,Under the Helmet: The Legacy of Boba Fett,sin dato,2021,22 min,Science Fiction,"A special celebrating the origins and legacy of Star Wars’ legendary bounty hunter, Boba Fett.",disney,22,min
s42,Movie,Willow,sin dato,2021,3 min,"Action-Adventure, Fantasy","Meet the cast of the all-new Disney+ fantasy-adventure series ""Willow."" Coming to Disney+ in 2022.",disney,3,min
s43,Movie,Alvin and the Chipmunks: Chipwrecked,"Jason Lee, David Cross, Jenny Slate, Justin Long, Matthew Gray Gubler, Jesse McCartney",2011,87 min,"Comedy, Family, Music",The Chipmunks and Chipettes get stranded on a remote island – or so it would seem.,disney,87,min
s44,Movie,Jingle All The Way,"Arnold Schwarzenegger, Sinbad, Phil Hartman, Rita Wilson, Robert Conrad, Martin Mull",1996,90 min,"Comedy, Family",A father's Christmas Eve turns into a madcap scramble to find a much sought-after toy for his son.,disney,90,min
s45,Movie,Jingle All the Way 2,"Larry the Cable Guy, Brian Stepanek, Santino Marella, Kennedi Clements, Kirsten Robek, Rachel Hayward",2014,91 min,"Comedy, Family",Two dads compete to be the best father and make Christmas amazing!,disney,91,min
s46,Movie,Prep & Landing: Operation Secret Santa,"Betty White, Dave Foley, Derek Richardson, Sarah Chalke, W. Morgan Sheppard",2010,8 min,"Animation, Family, Fantasy",Mrs. Claus enlists two elves in a secret mission.,disney,8,min
s47,Movie,Santa Buddies: The Legend of Santa Paws,"Christopher Lloyd, Danny Woodburn, Craig Anton, Michael Teigen, Ben Giroux, Paul Rae",2009,93 min,"Comedy, Fantasy, Kids","The Buddies remind Santa Paws' feisty son, Puppy Paws, about the true meaning of Christmas.",disney,93,min
s48,Movie,Snow Buddies,"Dominic Scott Kay, John Kapelos, Lise Simms, Mike Dopud, Charles C. Stevenson Jr., Dylan Minnette",2008,91 min,"Action-Adventure, Comedy, Kids",Disney’s favorite talking pups put one paw in front of the other in a thrilling Alaskan adventure.,disney,91,min
s49,Movie,Space Buddies,"F.T. Anderson, Diedrich Bader, Field Cate, Kendall Cross, Mike Dopud, Mark Downey",2009,87 min,"Action-Adventure, Comedy, Kids","Disney's most adventurous talking pups take one small step for dog, one giant leap for dogkind.",disney,87,min
s50,Movie,The Search for Santa Paws,"Resse Alexander, Diedrich Bader, Sahar Biniaz, Jan Boss, Ameko Eks Mass Carroll, Melody Choi",2010,101 min,"Drama, Family, Fantasy",Discover how the legendary friendship of Santa Claus and Santa Paws began.,disney,101,min
s51,Movie,X-Men: First Class,"James McAvoy, Michael Fassbender, Rose Byrne, Jennifer Lawrence, January Jones, Nicholas Hoult",2011,132 min,"Action-Adventure, Science Fiction, Superhero","Following the classic mythology, X-Men: First Class charts the epic beginning of the X-Men saga.",disney,132,min
s52,TV Show,Disney Amphibia,"Justin Felbinger, Amanda Leighton, Bill Farmer, Brenda Song",2018,3 Seasons,"Animation, Comedy, Family",Anne Boonchuy is transported to the world of Amphibia.,disney,3,Seasons
s53,TV Show,Photo Ark,Joel Sartore,2017,1 Season,"Animals & Nature, Docuseries, Family",National Geographic photographer Joel Sartore photographs some of the rarest animals in the world.,disney,1,Season
s54,TV Show,Storm Rising,sin dato,2021,1 Season,"Action-Adventure, Animals & Nature, Docuseries",Storm chasers Reed Timmer and Mike Theiss track and study a new category of deadly storms.,disney,1,Season
s55,Movie,Bob Ballard: An Explorer's Life,sin dato,2021,44 min,"Biographical, Documentary","An intimate portrait of Bob Ballard, the legendary explorer who found the Titanic.",disney,44,min
s56,Movie,"McFarland, USA","Kevin Costner, Maria Bello, Morgan Saylor, Martha Higareda, Michael Aguero, Sergio Avelar",2015,131 min,"Drama, Sports",A coach guides underdogs past tremendous obstacles to become champions.,disney,131,min
s57,Movie,Rookie of the Year,"Thomas Ian Nicholas, Gary Busey, Albert Hall, Amy Morton, Dan Hedaya, Eddie Bracken",1993,104 min,"Comedy, Family, Sports","A 12-year-old boy can throw a 100 mph fastball, and the Chicago Cubs want him as their new pitcher!",disney,104,min
s58,Movie,Thumbelina,"Gino Conforti, Barbara Cook, Jodi Benson, Will Ryan, June Foray, Kenneth Mars",1994,87 min,"Animation, Family, Fantasy",A digit-sized heroine evades the clutches of various creatures so she can reunite with her prince.,disney,87,min
s59,TV Show,PJ Masks,"Kyle Breitkopf, Jacob Ursomarzo, Addison Holley",2015,5 Seasons,"Action-Adventure, Animation, Kids",Look out Night Time Baddies the PJ Masks are coming!,disney,5,Seasons
s60,TV Show,The Wild Life of Dr. Ole,sin dato,2021,1 Season,"Animals & Nature, Reality","Doc Ole practices his unique brand of animal care with wit, expertise and insight.",disney,1,Season
s61,Movie,Lost Cities with Albert Lin: The Great Flood,Dr. Albert Yu-Min Lin,2021,44 min,"Documentary, Historical",Albert Lin is on a global quest to find the origins of Great Flood stories.,disney,44,min
s62,Movie,Megacity of the Maya Warriors,Albert Lin,2021,44 min,Documentary,Albert Lin sets out to solve an ancient mystery and find a Lost Maya city.,disney,44,min
s63,TV Show,Apollo: Back To The Moon,"Bill Anders, Jack Clemons, Fred Haise, Glynn Lunney, Jay Barbree, Brad Vinikow",2019,1 Season,"Docuseries, Historical","Follow the Apollo lunar landing program from the inside, as never shown before.",disney,1,Season
s64,TV Show,Just Beyond,"Mckenna Grace, Lexi Underwood, Cedric Joe, Tim Heidecker, Riki Lindhome, Nasim Pedrad",2021,1 Season,"Anthology, Comedy, Coming of Age","Inspired by the writings of R.L. Stine, “Just Beyond” is a supernatural anthology series.",disney,1,Season
s65,TV Show,Secrets Of The Zoo: Down Under,Naomi Watts,2020,2 Seasons,"Animals & Nature, Docuseries, Family",This series is a behind-the-scenes look at one of the world’s most famous zoos.,disney,2,Seasons
s66,TV Show,Secrets of the Zoo: North Carolina,sin dato,2020,1 Season,Reality,"The North Carolina Zoo has more than 1,000 animals that live in lush natural habitats.",disney,1,Season
s67,TV Show,The Wizard of Paws,sin dato,2021,1 Season,"Animals & Nature, Docuseries, Medical",Follow pet prosthetics pioneer Derrick Campana as he gives troubled animals a second chance.,disney,1,Season
s68,TV Show,Zombies: Addison's Moonstone Mystery,sin dato,2020,1 Season,"Animation, Coming of Age, Fantasy",Things are smooth sailing at Seabrook High until ...,disney,1,Season
s69,Movie,Just Roll With It: You Decide Live!,"Tobie Windham, Suzi Barrett, Ramon Reed, Kaylin Hayman, JC Currais, Raven-Symoné",2019,52 min,Comedy,The Bennett-Blatts set out to reverse an evil curse!,disney,52,min
s70,Movie,Mickey's Tale of Two Witches,"Bret Iwan, Kaitlyn Robrock, Bill Farmer, Daniel Ross, Tress MacNeille, Jim Cummings",2021,47 min,"Animation, Family, Fantasy",Mickey tells a tale of two witches-in-training!,disney,47,min
s71,Movie,Muppets Haunted Mansion,"Dave Goelz, Bill Barretta, Will Arnett, Taraji P. Henson, Yvette Nicole Brown, Darren Criss",2021,53 min,"Comedy, Family, Musical",Gonzo is challenged to spend Halloween night in the scariest place on Earth – the Haunted Mansion.,disney,53,min
s72,Movie,The Most Magical Story on Earth: 50 Years of Walt Disney World,"Whoopi Goldberg, Christina Aguilera, Halle Bailey, Orlando Philharmonic Orchestra, Anthony Anderson, Tom Brady",2021,85 min,"Family, Variety",Celebrating 50 years of the Walt Disney World Resort.,disney,85,min
s73,Movie,Under Wraps,"Malachi Barton, Christian J. Simon, Sophia Hammons, Melanie Brook, Brent Stait, Jordana Largy",2021,92 min,"Action-Adventure, Comedy, Kids",Three friends revive a mummy in a neighbor's basement.,disney,92,min
s74,TV Show,Among the Stars,Chris Cassidy,2021,1 Season,Docuseries,NASA Astronaut Captain Chris Cassidy and the NASA team take on the challenges of space exploration.,disney,1,Season
s75,Movie,Black Widow,"Scarlett Johansson, Florence Pugh, David Harbour, O-T Fagbenle, Rachel Weisz, Ray Winstone",2021,135 min,"Action-Adventure, Science Fiction, Spy/Espionage",Natasha confronts her history as a spy and the broken relationships left in her wake.,disney,135,min
s76,TV Show,Drain the Oceans,Russell Boulter,2017,4 Seasons,"Docuseries, Historical",Pull the plug on the ocean to reveal hidden secrets using groundbreaking technology.,disney,4,Seasons
s77,TV Show,Drain The Oceans: The Mississippi River & Arctic War,Kerry Shale,2021,1 Season,"Docuseries, Historical",Drain the Oceans takes underwater archaeology into a whole new era.,disney,1,Season
s78,Movie,Fauci,"Dr. Anthony Fauci, Bono, George W. Bush, Peter Staley",2021,105 min,"Biographical, Documentary","""Fauci"" reveals the extraordinary life and career of Dr. Anthony Fauci.",disney,105,min
s79,TV Show,IMPACT with Gal Gadot,Gal Gadot,2021,1 Season,Docuseries,National Geographic Presents IMPACT with Gal Gadot honors impactful women.,disney,1,Season
s80,TV Show,The Ghost and Molly McGee,"Ashly Burch, Dana Snyder",2021,1 Season,"Animation, Buddy, Coming of Age",A grumpy ghost and cheerful tween are eternally bound.,disney,1,Season
s81,Movie,Alvin and the Chipmunks,"Jason Lee, David Cross, Cameron Richardson, Jane Lynch, Justin Long, Matthew Gray Gubler",2007,91 min,"Animation, Comedy, Family","Pop-singer Chipmunks Alvin, Simon and Theodore turn a songwriter's life upside-down.",disney,91,min
s82,Movie,Alvin and the Chipmunks: The Road Chip,"Jason Lee, Tony Hale, Kimberly Williams-Paisley, Josh Green, Bella Thorne, Uzo Aduba",2015,92 min,"Comedy, Family, Music","Your favorite fur balls, the Chipmunks, hit the road for an all-new, music-filled adventure.",disney,92,min
s83,Movie,LEGO Star Wars Terrifying Tales,"Jake Green, Raphael Alejandro, Dana Snyder, Tony Hale, Christian Slater, Trevor Devall",2021,47 min,"Action-Adventure, Animation, Science Fiction",Poe and BB-8 are told terrifying tales as they search for help in Darth Vader’s creepy old castle.,disney,47,min
s84,Movie,Maleficent,"Angelina Jolie, Sharlto Copley, Elle Fanning, Sam Riley, Imelda Staunton, Juno Temple",2014,99 min,"Action-Adventure, Family, Fantasy","Driven by revenge, Maleficent places a curse upon the king’s newborn infant, Aurora.",disney,99,min
s85,Movie,The Scariest Story Ever: A Mickey Mouse Halloween Spooktacular,"Chris Diamantopoulos, Tony Anselmo, Tress MacNeille, Bill Farmer, Russi Taylor",2017,22 min,"Animation, Family, Parody",Mickey tells a scary story on Halloween.,disney,22,min
s86,TV Show,Disney Vampirina,"Isabella Crovetti, Lauren Graham, James Van Der Beek, Jordan Davis, Wanda Sykes, Mitchell Whitfield",2017,3 Seasons,"Animation, Fantasy, Kids",Vampirina is the new girl in town!,disney,3,Seasons
s87,TV Show,Disney's Magic Bake-Off,"Issac Ryan Brown, Dara Reneé, Graciela Gomez",2021,1 Season,"Family, Game Show / Competition",Kid bakers compete to be named Disney Baking Champion.,disney,1,Season
s88,TV Show,Great Barrier Reef,Don Halbert,2020,1 Season,"Animals & Nature, Docuseries",Explore the complex Great Barrier Reef along with the wildlife that inhabit it.,disney,1,Season
s89,TV Show,Ready for Preschool,sin dato,2019,2 Seasons,"Kids, Music",The love of learning begins with Disney Junior!,disney,2,Seasons
s90,TV Show,Rolie Polie Olie,"Cole Caplan, Kristen Bone, Robert Smith, Catherine Disher, Adrian Truss, Len Carlson",1998,5 Seasons,"Animation, Science Fiction",Rolie Polie Olie’s life and adventures center on his Robo-family.,disney,5,Seasons
s91,TV Show,Star Wars Galaxy of Sounds,sin dato,2021,1 Season,"Animation, Anthology, Science Fiction","""Star Wars Galaxy of Sounds"" immerses audiences in the nostalgic ambience of a galaxy far, far away.",disney,1,Season
s92,TV Show,The Hatcher Family Dairy,sin dato,2021,1 Season,"Animals & Nature, Docuseries, Reality","The Hatcher Family enjoys a nonstop circus of animals, farming and family.",disney,1,Season
s93,TV Show,The Simpsons,"Dan Castellaneta, Julie Kavner, Nancy Cartwright, Yeardley Smith, Hank Azaria, Pamela Hayden",1989,32 Seasons,"Animation, Comedy","The world’s favorite nuclear family, in the award-winning, history-making series.",disney,32,Seasons
s94,Movie,A Spark Story,"Apthon Corbin, Louis Gonzales",2021,88 min,Documentary,Two Pixar filmmakers strive to bring their uniquely personal SparkShorts visions to the screen.,disney,88,min
s95,Movie,Spooky Buddies,"Tucker Albrizzi, Diedrich Bader, Ameko Eks Mass Carroll, Max Charles, Tim Conway, Jennifer Elise Cox",2011,93 min,"Comedy, Fantasy, Kids",The puppies go on a spooky adventure through a mysterious haunted mansion in this fur-raising flick.,disney,93,min
s96,Movie,The Fault in Our Stars,"Shailene Woodley, Ansel Elgort, Laura Dern, Sam Trammell, Nat Wolff, Willem Dafoe",2014,127 min,"Coming of Age, Drama, Romance",Hazel and Gus share a love that sweeps them on an unforgettable journey.,disney,127,min
s97,TV Show,Dog: Impossible,Matt Beisner,2019,2 Seasons,"Animals & Nature, Docuseries, Family",Matt Beisner uses unique approaches to modifying canine behavior and focuses on each animal’s needs.,disney,2,Seasons
s98,TV Show,Spidey And His Amazing Friends,"Benjamin Valic, Lily Sanfelippo, Jakari Fraser, Dee Bradley Baker, Melanie Minichino",2021,1 Season,"Action-Adventure, Animation, Kids",Spidey teams up with pals to become The Spidey Team!,disney,1,Season
s99,TV Show,Star Wars: Visions,sin dato,2021,1 Season,"Action-Adventure, Animation, Anime",An animated anthology celebrating Star Wars through the lens of the world’s best anime creators.,disney,1,Season
s100,Movie,Confessions of a Shopaholic,"Isla Fisher, Hugh Dancy, Joan Cusack, John Goodman, John Lithgow, Kristin Scott Thomas",2009,106 min,"Comedy, Romance, Romantic Comedy",Becky writes a personal finance column en route to a high-fashion mag job.,disney,106,min
s101,Movie,Descendants: Royal Wedding,"Dove Cameron, Sofia Carson, Booboo Stewart, Mitchell Hope, Sarah Jeffery, Melanie Paxson",2021,22 min,"Animation, Fantasy, Musical",Mal and Ben’s wedding is finally here!,disney,22,min
s102,Movie,Disney's Broadway Hits at London's Royal Albert Hall,"John Barrowman, Ashley Brown, Merle Dandridge, Trevor Dion Nicholas, Jade Ewen, Alton Fitzgerald White",2016,116 min,"Concert Film, Music",Experience the magic of Disney on Broadway in an unforgettable night of music.,disney,116,min
s103,Movie,Flooded Tombs of the Nile,Devin E. Haqq,2021,44 min,Documentary,Archaeologists dive into a pyramid flooded by the Nile to search for a king’s burial.,disney,44,min
s104,Movie,Jade Eyed Leopard,Jeremy Irons,2020,44 min,"Animals & Nature, Documentary","Jade Eyed Leopard follows a leopard, Toto, throughout the first three years of her life.",disney,44,min
s105,Movie,Nona,sin dato,2021,9 min,"Animation, Comedy, Family",A grandmother's plan for a day alone is upended by an unexpected visit from her granddaughter.,disney,9,min
s106,Movie,Smoky Mountain Park Rangers,Peter Jessop,2021,42 min,"Animals & Nature, Documentary",Park Rangers protect the wildlife in Great Smoky Mountain National Park.,disney,42,min
s107,TV Show,Life Below Zero,"Chip Hailstone, Agnes Hailstone, Sue Aikens, Andy Bassich",2012,16 Seasons,"Action-Adventure, Animals & Nature, Docuseries","Experience life deep in Alaska where the primal way lives on – brave the wild, fight the freeze.",disney,16,Seasons
s108,TV Show,Miraculous: Tales Of Ladybug & Cat Noir,"Cristina Vee, Bryce Papenbrook, Keith Silverstein, Mela Lee, Max Mittelman, Carrie Keranen",2015,1 Season,"Action-Adventure, Animation, Fantasy",Superheroes Ladybug and Cat Noir protect the city.,disney,1,Season
s109,TV Show,Unknown Waters with Jeremy Wade,Jeremy Wade,2021,1 Season,"Animals & Nature, Docuseries","Angler and adventurer, Jeremy Wade, explores the greatest river system in the world.",disney,1,Season
s110,Movie,Far Away From Raven’s Home,"Raven-Symoné, Issac Ryan Brown, Navia Robinson, Jason Maybaum, Sky Katz, Anneliese van der Pol",2021,11 min,Comedy,Our gang is off for an exotic vacation of a lifetime!,disney,11,min
s111,Movie,Pirates of the Caribbean: On Stranger Tides,"Johnny Depp, Penélope Cruz, Ian McShane, Geoffrey Rush, Kevin R. McNally, Sam Claflin",2011,140 min,"Action-Adventure, Fantasy",A woman from his past uses Jack to help find the fabled Fountain of Youth.,disney,140,min
s112,Movie,Twenty Something,"Kaylin Price, Ariana Brown, Aliyah Taylor, Janelle LaSalle, Napoleon Highbrou",2021,11 min,"Animation, Family","Adulting is hard. One day you're nailing it, the next you're a stack of kids hiding in a trenchcoat.",disney,11,min
s113,TV Show,"Doogie Kamealoha, M.D.","Peyton Elizabeth Lee, Emma Meisel, Matthew Sato, Wes Tian, Jeffrey Bowyer-Chapman, Mapuana Makia",2021,1 Season,"Comedy, Coming of Age, Family",A 16-year-old prodigy juggles her budding medical career with the daily challenges of teenage life.,disney,1,Season
s114,TV Show,"Mira, Royal Detective","Leela Ladnier, Utkarsh Ambudkar, Roshni Edwards, Kal Penn, Kamran Lucas",2020,2 Seasons,"Animation, Fantasy, Kids",Mira is the new royal detective in the land of Jalpur!,disney,2,Seasons
s115,TV Show,Pepper Ann,"Kathleen Wilhoite, Clea Lewis, Danny Cooksey, Pamela Segall, April Winchell, Don Adams",1997,3 Seasons,"Animation, Comedy, Coming of Age",Pepper Ann Pearson is a teenage girl on an eternal quest for coolness.,disney,3,Seasons
s116,TV Show,The Incredible Dr. Pol,"Rick Robles, Dr. Pol",2011,19 Seasons,"Animals & Nature, Docuseries, Family",Dr. Pol and his team handle challenging veterinary cases and animal emergencies in central Michigan.,disney,19,Seasons
s117,Movie,Happier Than Ever: A Love Letter to Los Angeles,"Billie Eilish, FINNEAS",2021,66 min,"Concert Film, Music","Billie Eilish makes her Disney+ debut with ""Happier Than Ever: A Love Letter to Los Angeles.""",disney,66,min
s118,Movie,X-Men: Dark Phoenix,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult, Sophie Turner, Tye Sheridan",2019,115 min,"Action-Adventure, Family, Science Fiction","When Jean Grey transforms into the Dark Phoenix, the X-Men unite to face their greatest enemy yet.",disney,115,min
s119,TV Show,Alaska Animal Rescue,Victoria Vosburg,2019,2 Seasons,"Animals & Nature, Docuseries, Family",Conservation heroes rescue and rehabilitate the wild animals of America’s last frontier.,disney,2,Seasons
s120,TV Show,Dug Days,"Bob Peterson, Ed Asner, Jordan Nagai",2021,1 Season,"Animation, Comedy, Family","“Dug Days” is a collection of shorts that follows the adventures of Dug, the dog from Pixar’s “Up.”",disney,1,Season
s121,Movie,Cruella,"Emma Stone, Emma Thompson, Joel Fry, Paul Walter Hauser, Emily Beecham, Kirby Howell-Baptiste",2021,137 min,"Crime, Drama","Witness the origin of Disney’s most notorious and notoriously fashionable villain, Cruella de Vil.",disney,137,min
s122,Movie,Dan in Real Life,"Steve Carell, Juliette Binoche, Dane Cook, John Mahoney, Emily Blunt, Alison Pill",2007,99 min,"Comedy, Drama, Romance",A relationship expert falls in love with his brother's new girlfriend.,disney,99,min
s123,Movie,Disney Princess Remixed - An Ultimate Princess Celebration,"Txunamy Oriz, Natalie Peyser, Dara Reneé, Frankie Rodriguez, Julia Lester, Ruth Righi",2021,22 min,"Family, Music, Variety",Celebrate the timeless music of Disney Princess!,disney,22,min
s124,Movie,Marvel One-Shot: All Hail the King,"Ben Kingsley, Scoot McNairy, Lester Speight, Sam Rockwell, Matt Gerald, Allen Maldonado",2014,14 min,"Comedy, Drama, Thriller","Locked up in prison, infamous icon Trevor Slattery agrees to meet with a documentary filmmaker.",disney,14,min
